epoch,train_loss,val_loss,train_acc,val_acc
1,1.8432,1.9124,0.3812,0.3650
2,1.6215,1.7308,0.4523,0.4210
3,1.4087,1.5621,0.5214,0.4890
4,1.2341,1.4102,0.5896,0.5430
5,1.0782,1.2874,0.6412,0.6020
6,0.9314,1.1793,0.6873,0.6450
7,0.8102,1.0921,0.7215,0.6820
8,0.7045,1.0214,0.7534,0.7130
9,0.6187,0.9712,0.7812,0.7340
10,0.5421,0.9324,0.8056,0.7510
11,0.4798,0.9041,0.8234,0.7640
12,0.4215,0.8813,0.8412,0.7750
13,0.3741,0.8687,0.8563,0.7820
14,0.3312,0.8612,0.8698,0.7880
15,0.2976,0.8589,0.8812,0.7910
16,0.2684,0.8601,0.8921,0.7920
17,0.2431,0.8645,0.9012,0.7900
18,0.2198,0.8712,0.9098,0.7880
19,0.1987,0.8814,0.9178,0.7840
20,0.1814,0.8941,0.9234,0.7810
